source_file,english_like_text_not_matched_by_fa_i18n
index.html,"Given Iran's educational and military service regulations, I made the deliberate decision to withdraw and pursue a B.Sc. in Psychology. This path allowed me to:"
index.html,Align my education with my research interests
index.html,in cognitive neuroscience and computational approaches to understanding behavior
index.html,Leverage my quantitative foundation
index.html,"as a distinctive advantage in psychological research, where strong mathematical skills are increasingly valued"
index.html,Maintain uninterrupted academic progression
index.html,toward graduate studies in cognitive neuroscience
index.html,Build a unique interdisciplinary profile
index.html,combining formal training in both mathematical sciences and psychology
index.html,This quantitative foundation supports my work in computational neuroscience and cognitive science research:
index.html,Strong mathematical background
index.html,for understanding neural models and statistical frameworks
index.html,Programming proficiency
index.html,enabling implementation of computational models and data analysis pipelines
index.html,Statistical rigor
index.html,for designing and analyzing complex behavioral and neural experiments
index.html,Bridge between disciplines
index.html,- rare combination of formal statistical training and psychological science
index.html,Reanalyzed frontal EEG asymmetry in the publicly available DEAP dataset examining the relationship between neural activity and emotional valence during music video viewing.
index.html,Dataset:
index.html,"DEAP dataset with 32 participants, 40 music video trials per participant"
index.html,Frontal alpha asymmetry using differential entropy
index.html,Within-between variance decomposition to account for individual differences
index.html,Implemented artifact detection calibration for improved signal quality
index.html,"Novel insights into the relationship between frontal EEG asymmetry and subjective emotional valence, with improved methodological controls for artifact contamination."
index.html,HRV Biofeedback RCT
index.html,Pre-registered randomized controlled trial examining the effects of heart rate variability (HRV) biofeedback training on adaptive decision-making under uncertainty.
index.html,"Polar H10 (1000 Hz, ICC > 0.99 vs. clinical Holter)"
index.html,Respiration:
index.html,Vernier Go Direct Belt (50 Hz piezoelectric)
index.html,Synchronization:
index.html,Lab Streaming Layer (LSL) for trial-level integration
index.html,Probabilistic Reversal Learning:
index.html,"360 trials, 6 blocks (3 stable + 3 reversal)"
index.html,"Participants learn which stimulus yields more rewards (80/20 or 65/35), then adapt when contingencies unexpectedly reverse"
index.html,Software:
index.html,"R 4.3.1 (lme4, brms, Stan, mediation, BayesFactor, ggplot2)"
index.html,0.80 for d=0.50 at α=0.05 → N=128 required (160 enrolled for 20% attrition)
index.html,Primary Model:
index.html,Hierarchical Bayesian dual-alpha Q-learning with perseveration
index.html,Separate learning rates for wins (α⁺) vs. losses (α⁻)
index.html,Inverse temperature (β) for exploitation/exploration
index.html,Perseveration parameter (κ) for habitual repetition
index.html,Group-specific hyperparameters estimated via Stan MCMC
index.html,"Real-time monitoring, <5% artifact threshold, weekly PI audits"
index.html,"Standardized AE logging, stopping rules, interim review at N=40"
index.html,"OSF pre-registration, de-identified data/code sharing, clinical trial registry"
index.html,Complete protocol (67 pages) uploaded to OSF with time-stamped lock
index.html,Finalize location upon MSc/PhD acceptance in Italy • Ethics Committee approval
index.html,Recruit and test N=160 participants • Hierarchical Bayesian modeling • Manuscript preparation
index.html,Analysis plan registered before data collection
index.html,Accounts for individual differences and uncertainty
index.html,Reinforcement learning models to understand decision processes
index.html,All materials will be publicly available
index.html,"Bayesian hierarchical models using Stan/brms with model comparison via LOO-CV. Computational RL models (Q-learning, actor-critic) fit to behavioral data."
index.html,OSF Registration
index.html,Progressive Web Application • 2024-2025
index.html,Built from:
index.html,the dataset and content model of
index.html,Islands of Your Mind
index.html,Book details
index.html,See the Mind Islands variant
index.html,THINK-360+ is a comprehensive Progressive Web Application (PWA) developed as an interactive companion tool for the book
index.html,"""Islands of Your Mind: 9 Thinking Styles for Everyday Life"""
index.html,". This platform transforms theoretical cognitive science concepts from the book into practical, interactive exercises that readers can use to develop and practice different thinking styles in their daily lives."
index.html,"Bridge the gap between cognitive psychology theory and practical application by providing an engaging, accessible digital tool that helps users understand and apply nine distinct thinking styles."
index.html,"The platform is built around nine evidence-based thinking styles, each representing a different cognitive approach to problem-solving and decision-making:"
index.html,"Systematic breakdown of complex problems into manageable components, logical reasoning, and data-driven decision making."
index.html,"Seeing the bigger picture, understanding interconnections, and considering systems as integrated wholes rather than isolated parts."
index.html,"Generating novel ideas, thinking outside conventional boundaries, and making unexpected connections between concepts."
index.html,"Adapting to changing circumstances, considering multiple perspectives, and switching between different approaches when needed."
index.html,"Evaluating information objectively, questioning assumptions, identifying biases, and making reasoned judgments."
index.html,6. Divergent Thinking
index.html,"Exploring multiple possible solutions, brainstorming diverse ideas, and embracing variety in thought processes."
index.html,7. Convergent Thinking
index.html,"Narrowing down options to find the single best solution, focusing on efficiency and optimization."
index.html,"Long-term planning, anticipating future scenarios, and aligning actions with overarching goals."
index.html,9. Empathetic Thinking
index.html,"Understanding others' perspectives, emotional intelligence, and considering human factors in decision-making."
index.html,Core Features & Functionality
index.html,Interactive Exercises & Activities
index.html,Guided Exercises:
index.html,Step-by-step activities for each thinking style with real-world scenarios
index.html,Questionnaires to help users identify their dominant thinking patterns
index.html,Practical Scenarios:
index.html,Situational exercises where users apply different thinking styles to solve problems
index.html,Reflection Prompts:
index.html,Questions that encourage metacognitive awareness and deeper understanding
index.html,Progress Tracking:
index.html,Visual indicators showing which exercises have been completed
index.html,Content Organization System
index.html,Hierarchical Navigation:
index.html,Multi-level menu system allowing easy access to any section
index.html,Chapter Integration:
index.html,Direct correlation between app sections and book chapters
index.html,Quick Access Menu:
index.html,Jump directly to any thinking style or exercise
index.html,Search Functionality:
index.html,Find specific content across all sections
index.html,Share specific pages or exercises via direct URLs
index.html,Personalization Features
index.html,Bookmark System:
index.html,"Save favorite exercises, concepts, or pages for quick reference"
index.html,Add personal notes to any section (stored locally)
index.html,Custom Learning Paths:
index.html,Create personalized sequences of exercises
index.html,Progress Dashboard:
index.html,Visual overview of completed activities and learning journey
index.html,Personal Statistics:
index.html,Track which thinking styles you engage with most
index.html,Bilingual Support & Accessibility
index.html,Complete English/Persian Interface:
index.html,Seamless language switching without page reload
index.html,RTL (Right-to-Left) Support:
index.html,Proper text direction and layout for Persian language
index.html,Culturally Adapted Content:
index.html,Examples and scenarios relevant to both Western and Iranian contexts
index.html,Responsive Typography:
index.html,Optimized fonts for both Latin and Persian scripts
index.html,Language Persistence:
index.html,Remembers user's language preference across sessions
index.html,Technical Architecture
index.html,Progressive Web Application (PWA)
index.html,What is a PWA?
index.html,"A Progressive Web Application combines the best features of websites and native mobile apps. Users can access THINK-360+ through any web browser, install it on their device like a native app, and use it seamlessly across devices."
index.html,Installability:
index.html,"Add to home screen on iOS, Android, Windows, macOS - works like a native app"
index.html,Core assets are cached for faster repeat access
index.html,Background Sync:
index.html,Updates content when connection is restored
index.html,Push Notifications:
index.html,Infrastructure ready for future engagement features
index.html,Fast Loading:
index.html,Caching strategies ensure instant page loads
index.html,Service Worker minimizes data transfer
index.html,Modular JavaScript:
index.html,"ES6+ modules for maintainable, organized code structure"
index.html,Reusable UI components reduce code duplication
index.html,State Management:
index.html,Centralized application state for consistent user experience
index.html,Router System:
index.html,Custom routing for multi-page navigation without page reloads
index.html,Event-Driven Architecture:
index.html,Loose coupling between components via event system
index.html,"Lazy loading, code splitting, and efficient rendering"
index.html,Local Storage:
index.html,"User preferences, bookmarks, and progress saved locally on device"
index.html,IndexedDB Ready:
index.html,Infrastructure for storing larger datasets if needed
index.html,Export/import functionality for backing up user data
index.html,Privacy-First:
index.html,All data stored locally - no external servers or tracking
index.html,Cache Management:
index.html,Intelligent caching of assets and content
index.html,User Interface & Experience
index.html,Fluid layouts adapting from mobile (320px) to large desktop displays
index.html,Touch-Optimized:
index.html,Gesture support and touch-friendly interface elements
index.html,Accessibility:
index.html,"Semantic HTML, ARIA labels, keyboard navigation support"
index.html,Dark/Light Themes:
index.html,Automatic theme switching based on system preferences
index.html,Smooth Animations:
index.html,CSS transitions and JavaScript animations for polished UX
index.html,Loading States:
index.html,Visual feedback during data fetching and processing
index.html,Technical Specifications
index.html,Codebase Statistics
index.html,Total Lines:
index.html,"6,000+ production code"
index.html,JavaScript:
index.html,"~3,500 lines"
index.html,"~1,500 lines"
index.html,"~1,000 lines"
index.html,Files:
index.html,50+ organized files
index.html,Technologies Used
index.html,Core:
index.html,"HTML5, CSS3, Vanilla JavaScript ES6+"
index.html,"Service Workers, Web App Manifest"
index.html,Storage:
index.html,"Local Storage API, Cache API"
index.html,"Flexbox, CSS Grid, CSS Variables"
index.html,Platform Support
index.html,Mobile:
index.html,"iOS Safari, Android Chrome"
index.html,Desktop:
index.html,"Chrome, Firefox, Safari, Edge"
index.html,Fast repeat loads via caching
index.html,Install:
index.html,All major platforms
index.html,Development Challenges & Solutions
index.html,Technical Challenges Solved
index.html,Challenge 1: Bilingual Content Management
index.html,Managing duplicate content in two languages while maintaining synchronization
index.html,"Implemented a translation system with JSON-based language files, allowing instant language switching without code duplication. Built custom RTL/LTR layout engine that automatically adjusts UI direction based on language."
index.html,Challenge 2: Caching & Reliability
index.html,Keeping the experience fast and resilient across variable connectivity
index.html,Implemented sophisticated Service Worker with cache-first strategy for static assets and network-first with cache fallback for dynamic content. Added graceful handling for connectivity changes and cache fallbacks.
index.html,Challenge 3: Performance on Low-End Devices
index.html,Maintaining smooth performance on older smartphones
index.html,"Implemented lazy loading for images and content sections, optimized JavaScript execution with debouncing/throttling, used CSS animations instead of JavaScript where possible, and minimized DOM manipulations through efficient rendering strategies."
index.html,Reliably storing user progress and preferences
index.html,"Built robust Local Storage wrapper with error handling, data validation, and automatic migration system. Implemented export/import functionality allowing users to backup and restore their data."
index.html,User Experience Design
index.html,Design Philosophy
index.html,The interface design follows principles of cognitive psychology to minimize cognitive load and maximize learning effectiveness:
index.html,Progressive Disclosure:
index.html,Information revealed gradually to avoid overwhelming users
index.html,Consistent Patterns:
index.html,Familiar UI patterns reduce learning curve
index.html,Visual Hierarchy:
index.html,Clear information architecture guides user attention
index.html,Feedback Loops:
index.html,Immediate visual feedback for all user actions
index.html,Cognitive Mapping:
index.html,Navigation structure matches mental models of learning
index.html,Impact & Usage
index.html,Educational Value
index.html,"Transforms abstract cognitive psychology concepts into concrete, actionable exercises that users can practice in daily life"
index.html,Accessibility
index.html,"Free, open-source platform accessible to anyone with a web browser, removing barriers to cognitive skill development"
index.html,Practical Application
index.html,Bridges theory-practice gap by providing tools readers can immediately use to apply book concepts
index.html,Skills Demonstrated
index.html,Full-Stack Web Development
index.html,Progressive Web Apps
index.html,Bilingual Development
index.html,UX/UI Design
index.html,JavaScript ES6+
index.html,Caching & Reliability
index.html,Cross-Platform Development
index.html,User-Centered Design
index.html,Science Communication
index.html,Future Development Plans
index.html,Planned Enhancements
index.html,Spaced Repetition System:
index.html,Implement evidence-based review scheduling for exercises
index.html,Progress Analytics:
index.html,Detailed insights into thinking style development over time
index.html,Community Features:
index.html,Optional sharing of insights and exercise results
index.html,Audio Content:
index.html,Guided meditations and audio exercises for each thinking style
index.html,Gamification:
index.html,Achievement system to encourage regular practice
index.html,API Integration:
index.html,Connect with journal apps and productivity tools
index.html,Open Source Contribution
index.html,"THINK-360+ is open source, allowing developers to learn from the codebase and contribute improvements. The repository includes:"
index.html,Comprehensive documentation of architecture and design decisions
index.html,Code comments explaining complex implementations
index.html,Contributing guidelines for potential collaborators
index.html,MIT License allowing free use and modification
index.html,Launch Live Application
index.html,Project Significance
index.html,Offline-first Progressive Web Application (PWA) • THINK-360-derived build
index.html,Derived from:
index.html,and the THINK-360+ content framework.
index.html,THINK-360+ platform
index.html,Mind Islands
index.html,is an alternative implementation of
index.html,", built from the content model and dataset of the book"
index.html,“Islands of Your Mind: Thinking Styles for Everyday Life”
index.html,"). It packages the 9 thinking styles as “islands”, pairs them with a cognitive traps library, and adds combined-model workflows (dual/triple/quad/full) for structured decision-making and reflection."
index.html,Goal:
index.html,"make the book’s concepts usable in daily life through an installable, offline-first tool with fast navigation and deep subpages."
index.html,Relationship to THINK-360+
index.html,Same theoretical backbone:
index.html,9 thinking styles + trap taxonomy derived from the book dataset.
index.html,Different UX packaging:
index.html,optimized hubs (Islands / Traps / Combiners) + dedicated subpages for faster exploration.
index.html,Offline distribution:
index.html,multi-file PWA + optional single-file offline build for zero-install sharing.
index.html,Content-first i18n:
index.html,"bilingual (FA/EN) across pages, designed to scale to more locales."
index.html,What’s inside
index.html,Thinking Islands:
index.html,"9 thinking styles, each with dedicated pages, examples, and practice prompts."
index.html,Cognitive Traps Library:
index.html,"a browsable & searchable set of cognitive traps with micro-lessons, symptoms, real-life examples, and step-by-step counter-strategy practice (drills, prompts, and reframing guides)."
index.html,Combined Models (Combiners):
index.html,"dual/triple/quad/full workflows with templates, scenarios, FAQs, and “related” links."
index.html,Personalization:
index.html,saved theme & language preferences; optional local progress tracking where applicable.
index.html,Offline-first PWA:
index.html,"Service Worker caching, installable manifest, and offline fallbacks."
index.html,Tech Notes
index.html,Frontend:
index.html,HTML/CSS/JavaScript (no backend required)
index.html,Service Worker + Web App Manifest + standalone install support
index.html,Deployment:
index.html,GitHub Pages friendly; local server recommended for PWA testing
index.html,Lineage:
index.html,Mind Islands is a sibling build in the
index.html,"line, optimized for bite-sized learning, practice, and offline use."
index.html,Open the Book (Publications)
index.html,Open THINK-360+ Platform
index.html,Why it matters
index.html,"This project functions as a compact, user-facing layer for psychoeducation and intervention prototyping. It turns a conceptual framework into repeatable, structured practice, while staying lightweight enough to run fully offline."
index.html,Frontal EEG Differential Entropy and Subjective Valence in the DEAP Dataset
index.html,Full Citation
index.html,"Lotfifar, A. M., & Mohammadi, M. D. (2025)."
index.html,Frontal EEG Differential Entropy and Subjective Valence in the DEAP Dataset: Artifact-Calibrated Analysis with Within–Between Decomposition.
index.html,Preprint.
index.html,Amirmohammad Lotfifar & Melika Dabbagh Mohammadi
index.html,Affiliation:
index.html,"Independent Researchers in Cognitive Psychology and Neuroscience, Tehran, Iran"
index.html,Abstract
index.html,Objective:
index.html,"Differential entropy (Hₑ) is widely used as an EEG feature in affective computing, but evidence for Hₑ as a stand-alone correlate of continuous subjective valence remains mixed. Here we quantify the association between frontal Hₑ and self-reported valence using an artifact-calibrated pipeline."
index.html,"Using the DEAP dataset (32 participants, 40 trials each), we derived frontal EEG differential entropy from Fp1/Fp2 after baseline correction. Hₑ was computed on 4-s windows with 50% overlap (29 windows per 60-s trial) and aggregated to trial-level means. Artifact windows were flagged using a calibrated percentile-based threshold (p99.5). We report (i) naive trial-level correlations, (ii) OLS with participant-clustered robust standard errors, (iii) random-intercept mixed models, and (iv) within–between decomposition to separate within-participant from between-participant associations."
index.html,Results:
index.html,"In the primary analysis (N=1,148 trials), naive trial-level association between Hₑ and valence was small but statistically detectable (r=−0.086, p=0.004; R²=0.007), while Hₑ showed no association with arousal (r=0.005, p=0.87). However, when accounting for repeated measures, evidence weakened substantially: cluster-robust OLS yielded p=0.125, and random-intercept models produced β=0.0055, p=0.068. Within–between decomposition revealed the negative association was primarily between participants (r=−0.285, p=0.114) with negligible within-participant effects (β≈0.006, p=0.186). Hₑ showed excellent split-half reliability (ICC=0.990, 95% CI [0.988, 0.991])."
index.html,Conclusion:
index.html,"Frontal differential entropy exhibits high measurement reliability but only a very small trial-level association with subjective valence in DEAP. This association is not robust to models emphasizing within-participant variation, motivating cautious interpretation of single-feature Hₑ–valence links and multifeature approaches for practical emotion prediction."
index.html,Key Contributions
index.html,Artifact-Calibrated Pipeline:
index.html,Implemented empirically-calibrated artifact detection using p99.5 percentile threshold rather than arbitrary cutoffs
index.html,Within-Between Decomposition:
index.html,Distinguished within-participant (trial-to-trial) effects from between-participant (individual differences) associations
index.html,Multiple Statistical Approaches:
index.html,"Reported complementary analyses including naive correlations, cluster-robust standard errors, mixed-effects models, and variance decomposition"
index.html,Comprehensive Reliability Assessment:
index.html,Evaluated both split-half reliability (ICC=0.990) and temporal stability (ICC=0.965)
index.html,Three Artifact-Handling Variants:
index.html,"PRIMARY (all windows), WIN_REMOVED (flagged windows removed), EXCLUDED (trials with any flagged window removed)"
index.html,Small Effect Size:
index.html,"Naive trial-level correlation r=−0.086 (p=0.004), explaining only 0.7% variance"
index.html,Between-Participant Effect:
index.html,"Association primarily driven by stable individual differences (r=−0.285, p=0.114) rather than within-person variation"
index.html,Excellent Reliability:
index.html,Differential entropy showed very high measurement consistency across window splits and time periods
index.html,No Arousal Association:
index.html,"Hₑ showed no meaningful relationship with arousal ratings (r=0.005, p=0.87)"
index.html,Robust Across Variants:
index.html,Results consistent across all three artifact-handling approaches
index.html,DEAP Dataset
index.html,Participants:
index.html,32 healthy adults
index.html,Trials:
index.html,40 music videos per participant
index.html,60 seconds per trial
index.html,Ratings:
index.html,Valence & arousal (1-9 scale)
index.html,EEG Analysis
index.html,Channels:
index.html,"Fp1, Fp2 (frontal)"
index.html,Windows:
index.html,4s with 50% overlap (29 per trial)
index.html,Feature:
index.html,Differential entropy (Gaussian)
index.html,Sample:
index.html,"1,148 trials (PRIMARY)"
index.html,Naive:
index.html,Pearson correlation
index.html,Robust:
index.html,Cluster-corrected SE
index.html,Mixed:
index.html,Random-intercept models
index.html,Decomposition:
index.html,Within-between effects
index.html,Technical Skills Demonstrated
index.html,EEG Signal Processing
index.html,"Python (MNE, NumPy, pandas)"
index.html,Mixed-Effects Modeling
index.html,Within-Between Decomposition
index.html,Artifact Detection
index.html,Reliability Analysis (ICC)
index.html,Implications for Research
index.html,For Affective Computing:
index.html,Cautions against relying on differential entropy alone as a valence marker
index.html,Emphasizes need for multifeature approaches in emotion recognition systems
index.html,Highlights importance of cross-validated predictive performance over univariate correlations
index.html,Demonstrates importance of distinguishing within-person from between-person effects
index.html,Provides replicable artifact-calibration approach for EEG preprocessing
index.html,Shows how naive correlations can be misleading without repeated-measures corrections
index.html,Open Science Practices
index.html,Analysis based entirely on openly available DEAP dataset
index.html,"All preprocessing, analysis, and visualization scripts provided"
index.html,Reproducible Pipeline:
index.html,Complete documentation enabling exact replication of results
index.html,Transparent Reporting:
index.html,Multiple statistical approaches reported to avoid selective reporting
index.html,Results made immediately available to research community
index.html,Differential Entropy
index.html,Arousal
index.html,Affective Computing
index.html,Mixed Effects
index.html,Read Preprint (OSF)
index.html,View Code (GitHub)
index.html,HRV Biofeedback and Adaptive Decision-Making
index.html,Causal Effect of Heart Rate Variability Biofeedback Training on Adaptive Decision-Making: A Randomized Controlled Trial with Hierarchical Bayesian Modeling
index.html,Principal Investigator:
index.html,Co-Principal Investigator:
index.html,Melika Dabbagh Mohammadi (Independent Researcher)
index.html,Disclosure: The PI and Co-PI are married and conducting separate independent trials. This relationship has been fully disclosed to the Ethics Committee.
index.html,"Parallel-group, randomized (1:1), analyst-blinded, active-controlled clinical trial"
index.html,Sample Size:
index.html,"N = 160 healthy adults (80 per arm), powered for Cohen's d = 0.50, accounting for ≤20% attrition"
index.html,Intervention:
index.html,Single-session (20 minutes) HRV biofeedback at resonance frequency vs. active control (paced breathing at non-resonant 15 breaths/min)
index.html,Primary Outcome:
index.html,Performance on probabilistic reversal learning task (Relative Expected Value)
index.html,Planned Location:
index.html,University laboratory in Italy (to be finalized upon acceptance into Master's/PhD program in 2026)
index.html,Pre-registered protocol; data collection planned 2026-2027
index.html,Theoretical Framework: Neurovisceral Integration Model
index.html,This investigation is grounded in the
index.html,Neurovisceral Integration (NVI) Model
index.html,"(Thayer & Lane, 2000), which proposes that heart rate variability serves as a quantifiable index of the functional integrity of the Central Autonomic Network (CAN)—a distributed neural network involving prefrontal cortex, anterior cingulate, insula, amygdala, and brainstem nuclei."
index.html,Core Hypothesis:
index.html,"Higher resting vagal tone (indexed by HRV metrics like RMSSD) reflects robust prefrontal inhibitory control over subcortical circuits, facilitating adaptive decision-making and cognitive flexibility."
index.html,Research Hypotheses
index.html,Confirmatory Hypotheses (Pre-Registered)
index.html,H1: Causal Effect on Behavioral Performance
index.html,Hypothesis:
index.html,HRV Biofeedback group will demonstrate significantly higher task performance (Relative Expected Value) compared to Active Control
index.html,Predicted Effect:
index.html,Cohen's d ≥ 0.50
index.html,Controls:
index.html,"Baseline HRV, respiratory parameters, age, sex"
index.html,H2: Physiological Mediation
index.html,Group effect on performance will be mediated by magnitude of HRV increase (ΔlogRMSSD)
index.html,"Causal mediation with 5,000 bootstrap iterations"
index.html,H3: Computational Mechanisms
index.html,Hierarchical Bayesian dual-alpha Q-learning predicts Biofeedback group will show:
index.html,Reduced decision noise (higher β)
index.html,Reduced learning rate asymmetry (lower |α⁺−α⁻|)
index.html,Reduced perseveration (lower κ)
index.html,Exploratory Hypotheses
index.html,Individual differences in ΔlogRMSSD correlate with task performance
index.html,Trial-level cardiac deceleration after losses predicts adaptive switching (moderated by Group)
index.html,Rigorous Active Control
index.html,Paced breathing outside resonance band controls for attention/rhythmic breathing without HRV amplification
index.html,Single-Session Design
index.html,"Tests immediate causal effects, avoids practice/expectancy confounds"
index.html,Computational Modeling
index.html,Hierarchical Bayesian RL dissects latent cognitive parameters
index.html,Respiratory Control
index.html,Continuous monitoring; statistical control for breathing confounds
index.html,Analyst Blinding
index.html,Analysts blind until final database lock
index.html,Full Pre-Registration
index.html,Complete protocol registered before data collection
index.html,Research Questions
index.html,Does HRV biofeedback training improve decision-making in reinforcement learning tasks?
index.html,What are the computational mechanisms underlying any observed effects?
index.html,How do individual differences in baseline HRV moderate training outcomes?
index.html,Methodological Features
index.html,Complete analysis plan registered before data collection
index.html,Accounts for individual differences and uncertainty quantification
index.html,"Reinforcement learning models (Q-learning, actor-critic) to understand decision processes"
index.html,Open science:
index.html,"All materials, data, and code will be publicly available upon completion"
index.html,View Registration (OSF)
index.html,"Lotfifar, A. M., & Mohammadi, M."
index.html,Neural Mechanisms of Cognitive–Emotional Integration: A Conceptual Framework for PFC–Limbic Flexibility and Hybrid EEG–fMRI Research
index.html,Narrative integrative review + conceptual construct + staged hybrid EEG–fMRI research agenda (no new participant data)
index.html,cognitive–emotional integration; PFC–limbic flexibility; allostasis; digital emotion contagion; consumer neuroscience; simultaneous EEG–fMRI; reproducibility; ethics
index.html,What the paper contributes
index.html,Diagnoses three gaps
index.html,": fragmented literatures (integration gap), missing subsystem-specific construct (construct gap), and a lack of “methods + governance” integration for applied persuasion settings."
index.html,Defines “PFC–limbic flexibility”
index.html,"as a falsifiable, multidimensional construct linking circuit dynamics to regulation and resistance outcomes."
index.html,Provides an implementation‑ready agenda
index.html,"for hybrid EEG–fMRI that is explicitly staged to reduce artifacts, analytic flexibility, and dual‑use risk."
index.html,PFC–limbic flexibility (operational definition)
index.html,Three measurable dimensions:
index.html,Context sensitivity
index.html,": how PFC–limbic coupling changes across message types, goals, and internal state."
index.html,Configurational diversity
index.html,: diversity of within‑subnetwork states across time (beyond static “connectivity”).
index.html,Neural–behavioral coupling
index.html,: correspondence between neural flexibility markers and regulation/resistance performance.
index.html,Proposed staged hybrid EEG–fMRI program
index.html,Stage 1 (EEG‑only):
index.html,"establish reliable electrophysiological indices of regulatory engagement during persuasion/resistance (e.g., frontal midline theta; LPP modulation)."
index.html,Stage 2 (fMRI‑only):
index.html,confirm robust activation/connectivity effects in predefined ROIs (PFC/ACC–amygdala/hippocampus/ventral striatum) using ROI‑first inference.
index.html,Stage 3 (Simultaneous EEG–fMRI):
index.html,"test EEG–BOLD correspondence and joint predictors, with preregistration, constrained ROIs, and artifact‑aware pipelines."
index.html,Core paradigm:
